Country_Head_1,Country_Head_2,Country_Head_3,Country_Head_4,Code,Done
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,AZE,No
"Bahamas, The","Bahamas, The","Bahamas, The","Bahamas, The",BAH,No
Bahrain,Bahrain,Bahrain,Bahrain,BHR,No
Bangladesh,Bangladesh,Bangladesh,Bangladesh,BAN,No
Barbados,Barbados,Barbados,Barbados,BAR,No
Belarus,Belarus,Belarus,Belarus,BLL,No
Belgium,Belgium,Belgium,Austrian Netherlands,AUN,No
Belgium,Belgium,Belgium,Belgium,BEL,No
Belgium,Belgium,Belgium,"Gent, City of",BEL,No
Belize,Belize,Belize,Belize,BLZ,No
Benin,Benin,Benin,Benin,DAH,No
Benin,Benin,Benin,Dahomey,DAH,No
Bermuda,Bermuda,Bermuda,Bermuda,BER,No
Bhutan,Bhutan,Bhutan,Bhutan,BHU,No
Bohemia,Bohemia,Bohemia,Bohemia,BOH,No
Bohemia,Bohemia,Bohemia,"Bohemia, Kingdom of",BOH,No
Bohemia,Bohemia,Bohemia,Moravia,BOH,No
Bohemia,Bohemia,Bohemia,Silesia,BOH,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Bohemia, Royal mint of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Brno, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Cheb, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Friedland, Duchy of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Görlitz, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Jihlava, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Kinsky, Counts of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Koszalin, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Krummau, Duchy of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Lobkowicz, Counts of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Nostitz-Rieneck, Counts of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Olomouc, Bishopric of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of",Rosenberg dominion,BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Schlick, Counts of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Stargard, City of",BOK,No
Bohemia,Bohemia,"Bohemia, Kingdom of","Znojmo, City of",BOK,No
Bohemia,Bohemia,Moravia,"Brno, Duchy of",MRV,No
Bohemia,Bohemia,Moravia,"Olomouc, Duchy of",MRV,No
Bohemia,Bohemia,Moravia,Unified Moravia and Margraviate,MRV,No
Bohemia,Bohemia,Moravia,"Znojmo, Duchy of",MRV,No
Bohemia,Bohemia,Silesia,"Bielsko, City of",SIL,No
Bohemia,Bohemia,Silesia,"Breslau, Bishopric of",SIL,No
Bohemia,Bohemia,Silesia,"Breslau, City of",SIL,No
Bohemia,Bohemia,Silesia,"Bytom, City of",SIL,No
Bohemia,Bohemia,Silesia,"Bytom-Kosel, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Glatz, County of",SIL,No
Bohemia,Bohemia,Silesia,"Glogau, City of",SIL,No
Bohemia,Bohemia,Silesia,"Glogau, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Jägerndorf, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Kosel, City of",SIL,No
Bohemia,Bohemia,Silesia,"Krosno, City of",SIL,No
Bohemia,Bohemia,Silesia,"Krosno, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Liegnitz, City of",SIL,No
Bohemia,Bohemia,Silesia,"Liegnitz-Brieg, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Löwenberg, City of",SIL,No
Bohemia,Bohemia,Silesia,"Münsterberg, City of",SIL,No
Bohemia,Bohemia,Silesia,"Münsterberg-Oels, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Nysa, City of",SIL,No
Bohemia,Bohemia,Silesia,"Oels, City of",SIL,No
Bohemia,Bohemia,Silesia,"Oels, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Oppeln, City of",SIL,No
Bohemia,Bohemia,Silesia,"Oppeln-Ratibor, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Sagan, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Schweidnitz, City of",SIL,No
Bohemia,Bohemia,Silesia,"Silesia, Royal Mint of",SIL,No
Bohemia,Bohemia,Silesia,"Striegau, City of",SIL,No
Bohemia,Bohemia,Silesia,"Teschen, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Toszek, City of",SIL,No
Bohemia,Bohemia,Silesia,"Troppau, City of",SIL,No
Bohemia,Bohemia,Silesia,"Troppau, Duchy of",SIL,No
Bohemia,Bohemia,Silesia,"Wohlau, City of",SIL,No
Bohemia,Bohemia,Silesia,"Württemberg-Oels, Duchy of",SIL,No
Bolivia,Bolivia,Bolivia,Bolivia,BOL,No
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BOS,No
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,"Bosnia, Kingdom of",BOS,No
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,"Srpska, Republic of",BOS,No
Botswana,Botswana,Botswana,Botswana,BOT,No
Brazil,Brazil,Brazil,Brazil,BRA,No
Brazil,Brazil,Brazil,New Holland,BRA,No
British Antarctic Territory,British Antarctic Territory,British Antarctic Territory,British Antarctic Territory,BAT,No
British East Indies,British East Indies,British East Indies,British East Indies,BEI,No
British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,BIO,No
British Virgin Islands,British Virgin Islands,British Virgin Islands,British Virgin Islands,BVI,No
British Virgin Islands,British Virgin Islands,British Virgin Islands,Tortola,TOR,No
British West Africa,British West Africa,British West Africa,British West Africa,BWA,No
British West Indies,British West Indies,British West Indies,British West Indies,BWI,No
Brunei,Brunei,Brunei,Brunei,BRU,No
Bulgaria,Bulgaria,Bulgaria,Bulgaria,BUL,No
Bulgaria,Bulgaria,Bulgaria,"Dobruja, Despotate of",BUL,No
Bulgaria,Bulgaria,Bulgaria,Second Bulgarian Empire,BUL,No
Bulgaria,Bulgaria,Bulgaria,"Vidin, Tsardom of",BUL,No
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,BUK,No
Burundi,Burundi,Burundi,Burundi,BUR,No
Byzantine states,Byzantine states,Byzantine states,Byzantine Empire,BYZ,No
Byzantine states,Byzantine states,Byzantine states,Byzantine states,BYZ,No
Byzantine states,Byzantine states,Byzantine states,"Epirus, Despotate of",BYZ,No
Byzantine states,Byzantine states,Byzantine states,"Nicaea, Empire of",BYZ,No
Byzantine states,Byzantine states,Byzantine states,"Trebizond, Empire of",BYZ,No
Cambodia,Cambodia,Cambodia,Cambodia,CAM,No
Cambodia,Cambodia,Cambodia,Khmer Empire,CAM,No
Cameroon,Cameroon,Cameroon,Cameroon,CMB,No
Cameroon,Cameroon,Cameroon,French Cameroon,CMB,No
Canada,Canada,Canada,Canada,CAN,No
Canada,Canada,Canadian provinces,Alberta,ABR,No
Canada,Canadian provinces,British Columbia,British Columbia,BCO,No
Canada,Canadian provinces,"Canada, United Province of","Canada, United Province of",CUP,No
Canada,Canadian provinces,Canadian provinces,Canadian provinces,CPR,No
Canada,Canadian provinces,Lower Canada,Lower Canada,LOC,No
Canada,Canadian provinces,New Brunswick,New Brunswick,NBR,No
Canada,Canadian provinces,New France,New France,NFA,No
Canada,Canadian provinces,Newfoundland,Newfoundland,NEW,No
Canada,Canadian provinces,Nova Scotia,Nova Scotia,NOV,No
Canada,Canadian provinces,Prince Edward Island,Prince Edward Island,PRI,No
Canada,Canadian provinces,Upper Canada,Upper Canada,UPP,No
Cape Verde,Cape Verde,Cape Verde,Cape Verde,CAV,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Aquitaine, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Arles, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,Carolingian Empire,CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"East Francia, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Italy, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,Lotharingia,CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Lower Burgundy, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Lower Lotharingia, Duchy of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Middle Francia, Kingdom of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,Unified Carolingian Empire,CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"Upper Lotharingia, Duchy of",CAO,No
Carolingian Empire,Carolingian Empire,Carolingian Empire,"West Francia, Kingdom of",CAO,No
Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,CAY,No
Central African Republic,Central African Republic,Central African Republic,Central African Republic,CAR,No
Central African States,Central African States,Central African States,Central African States,CAS,No
Central American Republic,Central American Republic,Central American Republic,Central American Republic,CER,No
Central Asia and Caucasia,Caucasia,Caspian region,Uncertain Christian bishopric,CPN,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara,Bukhara,BHA,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara,"Bukhara, Emirate of",BHA,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara Sogd,Bukhar Khudat dynasty,BSO,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara Sogd,Bukhara Sogd,BSO,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara Sogd,"Paikend, City of",BSO,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara Sogd,"Varakhsha, City of",BSO,No
Central Asia and Caucasia,Central Asia and Caucasia,Bukhara Sogd,"Vardanzi, City of",BSO,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasia,Caspian region,CSI,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Baku Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Derbent Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Erivan Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Ganja Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Karabakh Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Nakhjevan Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Quba Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Sheki Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Caucasian Khanates,Shirvan Khanate,CAK,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Caucasia,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Choresmia,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Late Central Asia,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Tashkent Khanate,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Tokharistan,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Uyghur Khagante,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Western Liao dynasty,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,Central Asia and Caucasia,Yarkand Khanate,CEN,No
Central Asia and Caucasia,Central Asia and Caucasia,"Chach, Principality of","Chach, Principality of",CHC,No
Central Asia and Caucasia,Central Asia and Caucasia,"Chach, Principality of","Farankat, City of",CHC,No
Central Asia and Caucasia,Central Asia and Caucasia,"Chach, Principality of","Kabarna, City of",CHC,No
Central Asia and Caucasia,Central Asia and Caucasia,"Chach, Principality of","Kanka, City of",CHC,No
Central Asia and Caucasia,Central Asia and Caucasia,"Chach, Principality of",Uncertain Chachian mint,CHC,No
Central Asia and Caucasia,Central Asia and Caucasia,Choresmia,Afrighid dynasty,CHO,No
Central Asia and Caucasia,Central Asia and Caucasia,Choresmia,Kerder district,CHO,No
Central Asia and Caucasia,Central Asia and Caucasia,Choresmia,Syr Darya Oghuz state,CHO,No
Central Asia and Caucasia,Central Asia and Caucasia,Dzungar Khanate,Dzungar Khanate,DZU,No
Central Asia and Caucasia,Central Asia and Caucasia,Khazar Khaganate,Khazar Khaganate,KHA,No
Central Asia and Caucasia,Central Asia and Caucasia,Khiva Khanate,Khiva Khanate,KHI,No
Central Asia and Caucasia,Central Asia and Caucasia,Khiva Khanate,"Khiva, Khanate of",KHI,No
Central Asia and Caucasia,Central Asia and Caucasia,Khiva Khanate,Khorezm People's Soviet Republic,KHI,No
Central Asia and Caucasia,Central Asia and Caucasia,Late Central Asia,Bukhara,LCA,No
Central Asia and Caucasia,Central Asia and Caucasia,Late Central Asia,Khiva Khanate,LCA,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Bukhara Sogd,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,"Chach, Principality of",SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Ferghana Khaganate,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Otrar oasis,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Samarqand Sogd,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,"Samitan, Principality of",SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Semirechye,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Sogdiana,Southern Sogdiana,SOG,No
Central Asia and Caucasia,Central Asia and Caucasia,Tokharistan,Badakhshan,TOK,No
Central Asia and Caucasia,Central Asia and Caucasia,Tokharistan,Northern Tokharistan,TOK,No
Central Asia and Caucasia,Central Asia and Caucasia,Uncertain Christian bishopric,Caucasian Khanates,UNC,No
Central Asia and Caucasia,Central Asia and Caucasia,Uyghur Khagante,Qocho Kingdom,UYG,No
Central Asia and Caucasia,Central Asia and Caucasia,Uyghur Khagante,Uyghur Khaganate,UYG,No
Central Asia and Caucasia,Late Central Asia,Bukhara,"Bukhara, Emirate of",BHA,No
Central Asia and Caucasia,Late Central Asia,Bukhara,Janid dynasty,BHA,No
Central Asia and Caucasia,Late Central Asia,Bukhara,Shaybanid dynasty,BHA,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,"Khiva, Khanate of",KHI,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,Khoqand Khanate,KHI,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,Khorezm People's Soviet Republic,KHI,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,"Samarqand, City of",KHI,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,"Shahrisabz, Bekdom of",KHI,No
Central Asia and Caucasia,Late Central Asia,Khiva Khanate,Tashkent Republic,KHI,No
Central Asia and Caucasia,Sogdiana,Samarqand Sogd,"Fansar, Domain of",SGD,No
Central Asia and Caucasia,Sogdiana,Samarqand Sogd,"Panch, Principality of",SGD,No
Central Asia and Caucasia,Sogdiana,Samarqand Sogd,"Pargar, Domain of",SGD,No
Central Asia and Caucasia,Sogdiana,Samarqand Sogd,"Samarqand, Kingdom of",SGD,No
Central Asia and Caucasia,Sogdiana,Semirechye,Arslanid dynasty,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Proto-Qarakhanid people,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Qarluq Khanate,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Semirechye,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,"Suyab, City of",SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Tukhus tribe,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Türgesh Khaganate,SMC,No
Central Asia and Caucasia,Sogdiana,Semirechye,Yaghlaqar clan,SMC,No
Central Asia and Caucasia,Sogdiana,Southern Sogdiana,"Kesh, Principality of",SSG,No
Central Asia and Caucasia,Sogdiana,Southern Sogdiana,"Nakhshab, Principality of",SSG,No
Central Asia and Caucasia,Sogdiana,Southern Sogdiana,Uncertain Sogdian mint,SSG,No
Central Asia and Caucasia,Sogdiana,Southern Sogdiana,"Ustrushana, Principality of",SSG,No
Central Asia and Caucasia,Tokharistan,Northern Tokharistan,"Chaghaniyan, Principality of",NOT,No
Central Asia and Caucasia,Tokharistan,Northern Tokharistan,Northern Tokharistan,NOT,No
Central Asia and Caucasia,Tokharistan,Northern Tokharistan,"Termez, City of",NOT,No
Central Asia and Caucasia,Tokharistan,Northern Tokharistan,Vakhsh Valley,NOT,No
Chad,Chad,Chad,Chad,CHA,No
Chile,Chile,Chile,Chile,CHI,No
China,China,China,China,CHN,No
China,China,China,"China, Empire of",CHN,No
China,China,China,"China, Empire of",CHN,No
China,China,China,"China, Japanese puppet states in",CHN,No
China,China,China,"China, People's Republic of",CHN,No
China,China,China,"China, Republic of",CHN,No
China,China,China,Chinese provinces,CHN,No
China,China,China,Dynastic rebels,CHN,No
China,China,China,Hong Kong,CHN,No
China,China,China,Kiau Chau,CHN,No
China,China,China,Later Jin dynasty,CHN,No
China,China,China,Macau,CHN,No
China,China,China,Southern Ming regimes,CHN,No
China,China,China,Tatar dynasties,CHN,No
China,China,China,Ten Kingdoms,CHN,No
China,China,China,Tibet,CHN,No
China,China,China,Tungning Kingdom,CHN,No
China,China,China,Xinjiang region,CHN,No
China,China,China,You Zhou Autonomous Region,CHN,No
China,China,China,Yunnan-Guizhou tribes,CHN,No
China,China,"China, Empire of",Chinese notgeld,CHE,No
China,China,"China, Japanese puppet states in",Amoy Island,CHJ,No
China,China,"China, Japanese puppet states in","China, Japanese puppet states in",CHJ,No
China,China,"China, Japanese puppet states in","China, Provisional Government of the Republic of",CHJ,No
China,China,"China, Japanese puppet states in","China, Reformed Government of the Republic of",CHJ,No
China,China,"China, Japanese puppet states in",East Hebei,CHJ,No
China,China,"China, Japanese puppet states in",Manchoukuo,CHJ,No
China,China,"China, Japanese puppet states in",Meng Chiang,CHJ,No
China,China,"China, People's Republic of","China, People's Republic of",CPC,No
China,China,"China, Republic of","China, Republic of",CHR,No
China,China,Chinese notgeld,He Prefecture,CNN,No
China,China,Chinese notgeld,Jiang Prefecture,CNN,No
China,China,Chinese notgeld,Lin'an Prefecture,CNN,No
China,China,Chinese provinces,Chinese provinces,CHP,No
China,China,Dynastic rebels,Dazhou Kingdom,DYN,No
China,China,Dynastic rebels,"Fujian, Fiefdom of",DYN,No
China,China,Dynastic rebels,Great Han dynasty,DYN,No
China,China,Dynastic rebels,Great Shu Kingdom,DYN,No
China,China,Dynastic rebels,Great Song dynasty,DYN,No
China,China,Dynastic rebels,Great Yan State,DYN,No
China,China,Dynastic rebels,Great Zhong State,DYN,No
China,China,Dynastic rebels,Great Zhou dynasty,DYN,No
China,China,Dynastic rebels,Guangdong Triad Society,DYN,No
China,China,Dynastic rebels,Kewang dynasty,DYN,No
China,China,Dynastic rebels,Shun dynasty,DYN,No
China,China,Dynastic rebels,Small Sword Society,DYN,No
China,China,Dynastic rebels,Taiping Heavenly Kingdom,DYN,No
China,China,Dynastic rebels,Tianwan Kingdom,DYN,No
China,China,Dynastic rebels,Xi dynasty,DYN,No
China,China,Dynastic rebels,"Zhejiang, Rebellion in",DYN,No
China,China,Hong Kong,Hong Kong,HNK,No
China,China,Kiau Chau,Kiau Chau,KIC,No
China,China,Macau,Macau,MAC,No
China,China,Tatar dynasties,Eastern Xia Kingdom,TAT,No
China,China,Tatar dynasties,Great Jin,TAT,No
China,China,Tatar dynasties,Liao dynasty,TAT,No
China,China,Tatar dynasties,"Qi, Jin puppet state of",TAT,No
China,China,Tatar dynasties,Western Xia Empire,TAT,No
China,China,Ten Kingdoms,Former Shu Kingdom,TEN,No
China,China,Ten Kingdoms,Later Shu Kingdom,TEN,No
China,China,Ten Kingdoms,Ma Chu Kingdom,TEN,No
China,China,Ten Kingdoms,Min Kingdom,TEN,No
China,China,Ten Kingdoms,Southern Han Kingdom,TEN,No
China,China,Ten Kingdoms,Southern Tang Kingdom,TEN,No
China,China,Ten Kingdoms,Uncertain Chinese kingdoms,TEN,No
China,China,Tibet,Tibet,TIB,No
China,China,Xinjiang region,Kucha region,XIN,No
China,China,Xinjiang region,South Xinjiang,XIN,No
China,China,Xinjiang region,Turkestan Khanate,XIN,No
China,Chinese provinces,Anhwei Province,Anhwei Province,ANW,No
China,Chinese provinces,Chekiang Province,Chekiang Province,CHK,No
China,Chinese provinces,Chihli Province,Chihli Province,CHH,No
China,Chinese provinces,Fengtien Province,Fengtien Province,FEN,No
China,Chinese provinces,Fukien Province,Fukien Province,FUK,No
China,Chinese provinces,Hainan Province,Hainan Province,HNA,No
China,Chinese provinces,Heilungkiang Province,Heilungkiang Province,HEI,No
China,Chinese provinces,Honan Province,Honan Province,HAP,No
China,Chinese provinces,Hunan Province,"Changsha, City of",HNP,No
China,Chinese provinces,Hunan Province,Hunan Province,HNP,No
China,Chinese provinces,Hupeh Province,Hupeh Province,HUP,No
China,Chinese provinces,Jehol Province,Jehol Province,JEH,No
China,Chinese provinces,Kansu Province,Kansu Province,KAN,No
China,Chinese provinces,Kiangnan Province,Kiangnan Province,KIA,No
China,Chinese provinces,Kiangsi Province,Kiangsi Province,KNG,No
China,Chinese provinces,Kiangsu Province,"Chingkiang, City of",KGS,No
China,Chinese provinces,Kiangsu Province,Kiangsu Province,KGS,No
China,Chinese provinces,Kiangsu Province,"Shanghai, City of",KGS,No
China,Chinese provinces,Kiangsu Province,"Suchow, City of",KGS,No
China,Chinese provinces,Kirin Province,Kirin Province,KRN,No
China,Chinese provinces,Kwangsi Province,Kwangsi Province,KWS,No
China,Chinese provinces,Kwangtung Province,"Canton, City of",KWA,No
China,Chinese provinces,Kwangtung Province,Kwangtung Province,KWG,No
China,Chinese provinces,Kweichow Province,Kweichow Province,KWE,No
China,Chinese provinces,Manchurian Provinces,Manchurian Provinces,MAN,No
China,Chinese provinces,Manchurian Provinces,"Peiping, Municipality of",MAN,No
China,Chinese provinces,Shansi and Suiyuan Provinces,Shansi and Suiyuan Provinces,SSP,No
China,Chinese provinces,Shansi Province,Shansi Province,SHA,No
China,Chinese provinces,Shantung Province,Shantung Province,STU,No
China,Chinese provinces,Shantung Province,"Tsingtao, City of",STU,No
China,Chinese provinces,Shensi Province,Shensi Province,SHE,No
China,Chinese provinces,Sinkiang Province,"Altai, City of",SKI,No
China,Chinese provinces,Sinkiang Province,First East Turkestan Republic,SKI,No
China,Chinese provinces,Sinkiang Province,Ili Prefecture,SKI,No
China,Chinese provinces,Sinkiang Province,Sinkiang Province,SKI,No
China,Chinese provinces,Sinkiang Province,"Tihwa, City of",SKI,No
China,Chinese provinces,Sinkiang Province,Tunganistan region,SKI,No
China,Chinese provinces,Suiyuan Province,Suiyuan Province,SUI,No
China,Chinese provinces,Szechuan Province,Szechuan Province,SZE,No
China,Chinese provinces,Szechuan Province,"Tientsin, Municipality of",SZE,No
China,Chinese provinces,Taiwan Province,Taiwan Province,TAP,No
China,Chinese provinces,Tsinghai Province,Tsinghai Province,TSI,No
China,Chinese provinces,Xing'an Province,"Hulunbuir, City of",XIG,No
China,Chinese provinces,Xing'an Province,Xing'an Province,XIG,No
China,Chinese provinces,Yunnan Province,Yunnan Province,YUN,No
Colombia,Colombia,Colombia,Colombia,COL,No
Colombia,Colombia,Colombia,Colombian states,COL,No
Colombia,Colombia,Colombian states,"Bolívar, State of",CLS,No
Colombia,Colombia,Colombian states,"Boyacá, State of",CLS,No
Colombia,Colombia,Colombian states,"Cartagena, City of",CLS,No
Colombia,Colombia,Colombian states,"Cauca, State of",CLS,No
Colombia,Colombia,Colombian states,"Cundinamarca, State of",CLS,No
Colombia,Colombia,Colombian states,"Magdalena, State of",CLS,No
Colombia,Colombia,Colombian states,"Popayán, City of",CLS,No
Colombia,Colombia,Colombian states,"Santa Marta, City of",CLS,No
Colombia,Colombia,Colombian states,"Santander, State of",CLS,No
Colombia,Colombia,Colombian states,"Tolima, State of",CLS,No
Comoro Islands,Comoro Islands,Comoro Islands,Comoro Islands,COM,No
"Congo, Democratic Republic of the","Congo, Democratic Republic of the","Congo, Democratic Republic of the",Belgian Congo and Ruanda-Urundi,CDR,No
"Congo, Democratic Republic of the","Congo, Democratic Republic of the","Congo, Democratic Republic of the","Congo, Democratic Republic of the",CDR,No
"Congo, Democratic Republic of the","Congo, Democratic Republic of the","Congo, Democratic Republic of the",Katanga,CDR,No
"Congo, Republic of the","Congo, Republic of the","Congo, Republic of the","Congo, Republic of the",CON,No
Cook Islands,Cook Islands,Cook Islands,Cook Islands,COO,No
Costa Rica,Costa Rica,Costa Rica,Costa Rica,COS,No
"Crimea, Khanate of","Crimea, Khanate of","Crimea, Khanate of","Crimea, Khanate of",CRI,No
Croatia,Croatia,Croatia,Croatia,CRO,No
Croatia,Croatia,Croatia,"Croatia, Kingdom of",CRO,No
Croatia,Croatia,Croatia,Croatian cities,CRO,No
Croatia,Croatia,Croatia,"Fiume, Free state of",CRO,No
Croatia,Croatia,Croatia,"Krajina, Serb Republic of",CRO,No
Croatia,Croatia,Croatia,"Zagreb, City of",CRO,No
Croatia,Croatia,Croatian cities,"Hvar, City of",CRC,No
Croatia,Croatia,Croatian cities,"Ragusa, Republic of",CRC,No
Croatia,Croatia,Croatian cities,"Šibenik, City of",CRC,No
Croatia,Croatia,Croatian cities,"Trogir, City of",CRC,No
Croatia,Croatia,Croatian cities,"Zara, City of",CRC,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Catalan colonies,"Athens, Duchy of",CAT,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Catalan colonies,Catalan colonies,CAT,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Catalan colonies,"Neopatras, Duchy of",CAT,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,"Antioch, Principality of",CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Cilician Armenia,CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,"Cyprus, Kingdom of",CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,"Edessa, County of",CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,"Tripoli, County of",CRU,No
Crusader and Christian states in the Eastern Mediterranean,Crusader and Christian states in the Eastern Mediterranean,Frankish Greece,"Achaea, Principality of",FRG,No
