Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Straw,Mustard Seed,Saffron,Hay,Cheese,Butter,Milk,Beef,Mutton,Pork,Bacon,Tallow,Wool,Eggs Quid,Firewood,Timber,Cider,Honey
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Litre,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Dozen,Quid/Bundle 3 feet long by 2 feet circumference,Quid/Cubic Foot,Quid/Litre,Quid/Litre
1229,1.451066467,,0.004747198,0,0.007159485,0.011012486,0.001065566,0,0.000826733,0.000648418,0.000973707,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.016718368,0.025077553,0,0,0,0.000366615,0.000916539
1230,1.451066467,,0.004747198,0,0.007159485,0.011012486,0.001065566,0,0.000826733,0.000648418,0.000973707,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.016718368,0.025077553,0,0,0,0.000366615,0.000916539
1231,1.451066467,,0.004747198,0,0.007159485,0.011012486,0.000845104,0,0.000826733,0.000648418,0.000973707,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.016718368,0.025077553,0,0,0,0.000366615,0.000916539
1232,1.324219481,,0.00476383,0,0.007159485,0.011012486,0.000789989,0,0.000734873,0.000583576,0.000845104,0,0,0,0,0,0,0,0.003766226,0,0,0,0,0,0,0.014789326,0.037754118,0,0,0,0.000366615,0.000916539
1233,1.24518501,,0.005032537,0,0.007159485,0.011012486,0.00069813,0,0.000620049,0.000583576,0.000734873,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.014789326,0.039132005,0,0,0,0.000329954,0.000916539
1234,1.24518501,,0.005032537,0,0.007159485,0.011012486,0.00069813,0,0.000620049,0.000583576,0.000734873,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.014789326,0.039132005,0,0,0,0.000329954,0.000916539
1235,1.266347878,,0.005032537,0,0.007159485,0.011012486,0.00069813,0,0.000620049,0.000583576,0.000734873,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.014789326,0.039132005,0,0,0,0.000329954,0.000916539
1236,1.230306319,,0.004861876,0,0.007159485,0.011012486,0.00069813,0,0.000482261,0.000518734,0.000551155,0,0,0,0,0,0,0,0.004501099,0,0,0,0,0,0,0.008726621,0.036468089,0,0,0,0.000394112,0.000916539
1237,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1238,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1239,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1240,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1241,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1242,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1243,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1244,1.35622656,,0.004990574,0,0.007159485,0.011012486,0.000771617,0,0.000688944,0.000713259,0.000716502,0,0,0,0,0,0,0,0.004776677,0,0,0,0,0,0,0.008726621,0.036008793,0,0,0,0.000384946,0.000916539
1245,1.077015466,,0.004946905,0,0.007159485,0.011012486,0.000459296,0,0.000367437,0.000389051,0.000459296,0,0,0,0,0,0,0,0.004317381,0,0,0,0,0,0,0.008726621,0.037754118,0,0,0,0.000384946,0.000916539
1246,1.240166467,,0.005251057,0,0.007031274,0.013465094,0.000643014,0,0.000505225,0.000518734,0.000532783,0,0,0,0,0,0,0,0.004592958,0,0,0,0,0,0,0.012033551,0.040142456,0,0,0,0.000412442,0.000916539
1247,1.641503716,,0.005250178,0,0.007031274,0.012670383,0.001194169,0,0.000964521,0.000810522,0.001139054,0,0,0,0,0,0,0,0.005603409,0,0,0,0,0,0,0.013135861,0.043265668,0,0,0,0.000467435,0.000916539
1248,1.620738283,,0.005143931,0,0.008622159,0.012670383,0.001139054,0,0.001079345,0.000842943,0.001267657,0,0,0,0,0,0,0,0.004317381,0,0,0,0,0,0,0.013503298,0.034630906,0,0,0,0.000467435,0.000916539
1249,1.198378375,,0.005383502,0,0.008622159,0.010038534,0.000624642,0,0.000505225,0.000486313,0.00049604,0,0,0,0,0,0,0,0.003858085,0,0,0,0,0,0,0.029854229,0.03086468,0,0,0,0.000293292,0.000916539
1250,1.311690777,,0.004794574,0,0.008622159,0.010038534,0.000624642,0,0.000505225,0.000486313,0.00049604,0,0,0,0,0,0,0,0.003858085,0,0,0,0,0,0,0.029854229,0.03086468,0,0,0,0.000293292,0.000916539
1251,1.224540299,,0.006276118,0,0.008622159,0.010038534,0.000643014,0,0.000757838,0.000486313,0.000845104,0,0,0,0,0,0,0,0.003858085,0,0,0,0,0,0,0.029854229,0.03086468,0,0,0,0.000293292,0.000916539
1252,1.25906624,,0.005274973,0,0.005563921,0.011992341,0.000661386,0,0.000551155,0.000615997,0.000606271,0,0,0,0,0,0,0,0.004684818,0,0,0,0,0,0,0.010839382,0.03417161,0,0,0,0.000348285,0.000916539
1253,1.447285209,,0.005319584,0,0.007537228,0.012355753,0.000992079,0,0.000987486,0.000875364,0.00110231,0,0,0,0,0,0,0,0.003949944,0,0,0,0,0,0,0.013135861,0.03417161,0,0,0,0.000274962,0.000916539
1254,1.105723367,,0.005584615,0,0.004622963,0.011987465,0.000643014,0,0.000482261,0.000453892,0.000532783,0,0,0,0,0,0,0,0.004133663,0,0,0,0,0,0,0.011574255,0.029119356,0,0,0,0.00035745,0.000916539
1255,1.136315521,,0.005437606,0,0.006684558,0.014436519,0.000569527,0,0.000436331,0.000453892,0.000532783,0,0,0,0,0,0,0,0.00440924,0,0,0,0,0,0,0.012860283,0.03086468,0,0,0,0.000274962,0.000916539
